name,address,latitude,longitude,RestaurantsPriceRange2,stars,business_type,region,veggy,GoodForKids,RestaurantsDelivery,WiFi,Alcohol,OutdoorSeating,garage,lot,valet,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,breakfast,brunch,lunch,dinner,dessert,latenight,romantic,intimate,upscale,casual,trendy,classy,RestaurantsReservations,review_count
Chipotle Mexican Grill,16729 Lorain Ave,41.45024886,-81.8140882,1,2.5,Fast Food,Mexican,other,TRUE,FALSE,no,none,TRUE,FALSE,TRUE,FALSE,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,48
Best Steak & Gyros House,13620 Euclid Ave,41.5242028,-81.5877029,2,3,other,other,other,TRUE,,,none,,,,,,,,,,,,,,,,,,,,,,,,FALSE,4
Food On the Move,14034 Saint Clair Ave,41.5499237,-81.5839978,,1.5,other,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Faith Sung Inc Dba Asian Kitchen,1301 E 9th St,41.5049336,-81.6895088,1,4,other,Chinese,other,TRUE,FALSE,no,none,TRUE,FALSE,FALSE,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
Ginko Restaurant,2247 Professor Ave,41.4816154,-81.686368,3,4.5,Bars,Japanese,other,FALSE,FALSE,no,full_bar,FALSE,FALSE,FALSE,FALSE,,,16:30-22:0,16:30-22:0,16:30-22:0,16:30-0:0,16:30-0:0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,287
Barrio,527 Prospect Ave,41.49840583,-81.68932227,2,4,Bars,Mexican,other,TRUE,FALSE,no,full_bar,TRUE,TRUE,FALSE,FALSE,11:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,11:0-2:0,11:0-2:0,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,560
Hemispheres,5300 Riverside Dr,41.410962,-81.8336207,2,3,other,other,other,TRUE,FALSE,,full_bar,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,17
Popeyes Louisiana Kitchen,7020 Carnegie Ave,41.50137842,-81.639793,1,2.5,Fast Food,Southern,other,TRUE,FALSE,free,none,FALSE,FALSE,FALSE,FALSE,10:30-22:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,10:30-23:0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20
Harvard Deli,14716 Harvard Ave,41.4490716,-81.5779458,1,4,Delis,other,other,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6
The Spotted Dog,9617 Clinton Rd,41.4507823,-81.7511414,1,4,Bars,other,other,TRUE,FALSE,,,,,,,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11
Chicago’s Home of Chicken & Waffles,1144 Prospect Ave E,41.499168,-81.682721,2,3.5,Bars,other,other,TRUE,TRUE,no,full_bar,FALSE,FALSE,FALSE,TRUE,9:0-22:0,,9:0-22:0,9:0-22:0,9:0-2:0,9:0-0:0,9:0-0:0,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,220
Ohio City Pizzeria,3223 Lorain Ave,41.481552,-81.7092341,1,3,other,Italian,other,TRUE,TRUE,free,full_bar,FALSE,FALSE,FALSE,FALSE,,17:0-21:0,17:0-21:0,17:0-21:0,17:0-21:0,17:0-22:0,17:0-22:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,52
West Town Village Market,3645 W 117th St,41.453728,-81.768383,1,5,Grocery,Mediterranean,other,,TRUE,no,none,FALSE,FALSE,TRUE,FALSE,10:0-21:0,10:0-22:0,10:0-22:0,10:0-17:0,10:0-22:0,10:0-22:0,10:0-22:0,,,,,,,,,,,,,TRUE,8
Hansa Import Haus,2717 Lorain Ave,41.4832896,-81.7048632,2,5,other,other,other,TRUE,FALSE,no,,TRUE,FALSE,FALSE,FALSE,,9:0-17:30,9:0-17:30,9:0-17:30,9:0-17:30,9:0-17:30,9:0-17:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
West 3rd Deli,1220 W 3rd St,41.501591,-81.698612,1,4.5,Delis,other,other,TRUE,TRUE,no,none,TRUE,,FALSE,FALSE,,,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,39
Landmark,11637 Clifton Blvd,41.4871868,-81.7685123,2,4.5,Bars,other,other,TRUE,FALSE,free,full_bar,FALSE,FALSE,TRUE,FALSE,8:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,8:0-22:0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,,FALSE,111
Max & Erma's Restaurants,Cleveland Hopkins In,41.4789363,-81.7404134,2,1.5,other,other,other,FALSE,FALSE,,full_bar,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,3
Blue Breeze,16826 Lakeshore Blvd,41.580471,-81.562258,2,3,other,other,other,FALSE,,,,,,,,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
Michael's Bakery,4478 Broadview Rd,41.4339907,-81.6974218,2,5,Delis,other,other,,,,,,FALSE,TRUE,FALSE,,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-16:0,,,,,,,,,,,,,,16
Sainato's at Rivergate,1852 Columbus Rd,41.4892123,-81.7008022,2,4,Bars,Italian,other,TRUE,TRUE,free,full_bar,TRUE,FALSE,FALSE,FALSE,11:0-20:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-0:0,10:0-0:0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,96
Miega Restaurant,3820 Superior Ave E,41.512318,-81.6637391,2,3.5,other,Korean,other,TRUE,TRUE,free,none,FALSE,FALSE,TRUE,FALSE,11:30-21:30,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,135
Nora,2181 Murray Hill Rd,41.5041563,-81.6002941,2,4,other,Italian,other,FALSE,FALSE,no,full_bar,TRUE,FALSE,FALSE,TRUE,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-23:0,17:0-23:0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,94
Hofbrauhaus Cleveland,1550 Chester Ave,41.5028607,-81.6811037,2,3,Bars,other,other,TRUE,FALSE,free,full_bar,TRUE,TRUE,FALSE,TRUE,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-2:0,11:0-2:0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,372
Wing Kee,23161 Emery Rd,41.43574133,-81.5152082,1,1.5,other,Chinese,other,TRUE,TRUE,no,none,FALSE,FALSE,FALSE,FALSE,12:0-22:0,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-23:30,10:30-23:30,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15
Barley House,1261 W 6th St,41.500608,-81.698986,2,3,Bars,other,other,FALSE,TRUE,free,full_bar,TRUE,FALSE,TRUE,TRUE,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,216
Balaton Restaurant,13133 Shaker Square,41.484705,-81.5907229,2,4,other,other,other,TRUE,FALSE,no,beer_and_wine,FALSE,FALSE,FALSE,FALSE,12:30-20:0,,,11:30-21:0,11:30-21:0,11:30-21:30,12:30-21:30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,,TRUE,135
Arrabiata's Italian Restaurant,6169 Mayfield Rd,41.5205316,-81.4570989,2,3.5,other,Italian,other,TRUE,FALSE,free,full_bar,FALSE,FALSE,TRUE,FALSE,,,,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,55
Au Bon Pain,1 W St Clair Ave,41.50211,-81.694968,2,4.5,Bakeries,other,other,,FALSE,free,,,FALSE,FALSE,FALSE,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,5
Campbell's Popcorn Shop,1979 W 25th St,41.484572,-81.702964,2,3.5,other,other,other,TRUE,FALSE,no,none,FALSE,FALSE,FALSE,FALSE,,7:0-16:0,,7:0-16:0,,7:0-18:0,7:0-18:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
Sakura,5855 Broadway Ave,41.46579628,-81.64852045,,4,other,Japanese,other,TRUE,,,,,FALSE,FALSE,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,FALSE,4
Blue Jade,"7080 Engle Rd, Ste B",41.3746218,-81.8257664,1,3.5,other,Chinese,other,TRUE,FALSE,no,none,FALSE,FALSE,TRUE,FALSE,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28
Jimmy John's,11446 Euclid Ave,41.5096674,-81.6040346,1,2.5,Fast Food,other,other,TRUE,TRUE,no,none,TRUE,,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,FALSE,12
Dave's Cosmic Subs,2547 Lorain Ave,41.48380221,-81.70387889,1,3,other,other,other,TRUE,TRUE,free,none,FALSE,FALSE,FALSE,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21
Cork-N-Bottle,6724 Mayfield Rd,41.5195864,-81.436705,1,3.5,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,TRUE,FALSE,9:0-2:30,9:0-2:30,9:0-2:30,9:0-2:30,9:0-2:30,9:0-2:30,9:0-2:30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,,FALSE,FALSE,58
Good Company,1200 W 76th St,41.4865859,-81.7377633,2,4,Burgers,other,veg,TRUE,TRUE,free,full_bar,TRUE,FALSE,TRUE,FALSE,11:0-23:0,,16:0-0:0,16:0-0:0,16:0-0:0,16:0-1:0,11:0-1:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,60
Subway Restaurants,"13113 Shaker Blvd, Unit D1-D5",41.484458,-81.591421,1,1.5,Fast Food,other,other,,,,,,,,,9:0-19:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,9:0-21:0,,,,,,,,,,,,,,3
Parker's Downtown,2000 E 9th St,41.4998561,-81.6867502,2,4,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,FALSE,TRUE,8:0-22:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-0:0,8:0-0:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,86
Tapatia's Taqueria,12501 Lorain Ave,41.45976047,-81.7748696,1,4.5,Bars,Mexican,other,TRUE,TRUE,free,none,FALSE,FALSE,FALSE,FALSE,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,55
India's Cafe & Kitchen,5549 Ridge Rd,41.410567,-81.7342552,2,3.5,other,Indian,other,TRUE,FALSE,no,none,FALSE,FALSE,TRUE,FALSE,12:0-20:0,,17:30-21:30,17:30-21:30,17:30-21:30,17:30-21:30,12:0-21:0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21
Auntie Anne's,230 W Huron Rd,41.496884,-81.694052,,2.5,Fast Food,other,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Murray Hill Foods,4523 Renaissance Pkwy,41.437081,-81.491807,,5,other,Italian,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Astoria Cafe & Market,5417 Detroit Ave,41.48529933,-81.72449201,2,4.5,Cafes,Mediterranean,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,TRUE,FALSE,10:0-15:0,,9:0-21:0,9:0-21:0,9:0-21:0,9:0-22:0,9:0-22:0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,187
Superelectric Pinball Parlor,6500 Detroit Ave,41.48423713,-81.73047528,,4.5,Bars,Asian Fusion,other,TRUE,,,,,FALSE,FALSE,FALSE,12:0-18:0,,16:0-23:0,16:0-23:0,16:0-23:0,12:0-1:0,12:0-1:0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,37
Chick-fil-A,5300 Riverside Dr,41.4106443,-81.8387782,1,4,Fast Food,other,other,TRUE,FALSE,free,none,FALSE,FALSE,FALSE,FALSE,,,6:30-22:0,6:30-22:0,4:0-20:0,6:30-22:0,4:0-19:0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17
Byte Cafe,3615 Superior Ave E,41.5128891,-81.6654561,1,4.5,Cafes,other,other,TRUE,FALSE,free,none,FALSE,FALSE,FALSE,FALSE,,7:30-15:0,7:30-15:0,7:30-15:0,7:30-15:0,7:30-15:0,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,46
XYZ the Tavern,6419 Detroit Ave,41.4841386,-81.7298609,2,4,Bars,other,other,FALSE,FALSE,free,full_bar,TRUE,FALSE,TRUE,FALSE,9:0-2:30,11:30-2:30,11:30-2:30,11:30-2:30,11:30-2:30,11:30-2:30,9:0-2:30,,TRUE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,227
Mixed Greens,230 W Huron Rd,41.4971659,-81.6940644,1,3.5,Fast Food,other,veg,FALSE,FALSE,,none,FALSE,FALSE,FALSE,FALSE,,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,11:0-17:0,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9
Thirsty Parrot,812 Huron Rd E,41.498101,-81.685811,2,3.5,Bars,other,other,FALSE,FALSE,,full_bar,TRUE,FALSE,TRUE,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42
Phusion Cafe,11611 Euclid Ave,41.5109853,-81.60304964,1,4,other,Chinese,other,TRUE,TRUE,no,none,TRUE,FALSE,FALSE,FALSE,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,179
Tomo Sushi & Hibachi,1293 W 9th St,41.499484,-81.7004539,3,3,Bars,Japanese,other,FALSE,TRUE,free,full_bar,TRUE,FALSE,FALSE,TRUE,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-2:30,11:0-2:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,239
Johnny's Downtown,1406 W 6th St,41.4987411,-81.6981162,3,3,other,Italian,other,FALSE,FALSE,no,full_bar,TRUE,FALSE,FALSE,TRUE,16:0-21:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:30,11:30-0:30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,104
100th Bomb Group,20920 Brookpark Rd,41.4196781,-81.8475868,2,3,Event Planning & Services,other,other,TRUE,FALSE,free,full_bar,TRUE,FALSE,TRUE,FALSE,16:0-20:30,,16:30-21:0,16:30-21:0,16:30-21:0,16:30-23:0,16:30-23:0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,203
Dagwood Sandwich Shop,5310 State Rd,41.4160344,-81.710855,1,3.5,other,other,other,TRUE,FALSE,no,none,TRUE,FALSE,TRUE,FALSE,,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,10:0-16:0,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,38
Luna's Deli Restaurant,6380 York Rd,41.3871668,-81.7627438,1,3,Delis,other,other,TRUE,FALSE,no,none,FALSE,FALSE,TRUE,FALSE,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,33
Burger King,3305 Clark Ave,41.469542,-81.705804,1,1.5,Fast Food,other,other,,TRUE,,none,,,,,,,,,,,,,,,,,,,,,,,,,5
Wingstop,16902 Harvard Ave,41.449164,-81.561692,,2,other,other,other,,,,,,FALSE,FALSE,FALSE,11:0-0:0,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9
Samosky's Home Bakery,6379 Pearl Rd,41.3866145,-81.7666963,1,4,Bakeries,other,other,,TRUE,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,14
Whiskey Island Still & Eatery,2800 Whiskey Island,41.4977924,-81.7159388,2,3,Bars,other,other,TRUE,FALSE,no,full_bar,TRUE,FALSE,TRUE,FALSE,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,33
Farm House Foods,9000 Woodland Ave,41.4879574,-81.6235018,,2.5,other,other,other,,TRUE,,,,,,,,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,8:0-19:0,8:0-18:0,,,,,,,,,,,,,FALSE,5
A Touch of Italy,16822 Chagrin Blvd,41.4642456,-81.5618785,2,2.5,other,Italian,other,FALSE,FALSE,no,full_bar,FALSE,FALSE,TRUE,FALSE,12:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26
Best Wok Chinese,7671 W Ridgewood Dr,41.383402,-81.737832,1,4,other,Chinese,other,FALSE,FALSE,no,none,FALSE,FALSE,FALSE,FALSE,11:30-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:30,11:0-22:30,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26
Lago East Bank,1091 W 10th St,41.50025228,-81.70422456,2,4,other,Italian,other,FALSE,FALSE,free,full_bar,TRUE,TRUE,TRUE,TRUE,9:0-2:0,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,11:0-2:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,230
Pizza Hut,1407 W 117th St,41.48328971,-81.76846779,1,2,other,Italian,other,TRUE,TRUE,,,FALSE,FALSE,TRUE,FALSE,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-0:0,11:0-0:0,,,,,,,,,,,,,FALSE,17
Gateway Bar And Grill,651 Huron Rd E,41.4981918,-81.687707,2,3,Bars,other,other,FALSE,FALSE,free,full_bar,FALSE,FALSE,FALSE,FALSE,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,36
The Fresh Fix of Heights,2234 Lee Rd,41.49859,-81.5655266,1,4,Bars,other,veg,TRUE,TRUE,free,none,TRUE,FALSE,FALSE,FALSE,,,10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18
La Plaza Supermarket,13609 Lakewood Heights Blvd,41.4701111,-81.7859383,1,4.5,Bakeries,Mexican,other,TRUE,TRUE,no,none,TRUE,FALSE,TRUE,FALSE,10:0-19:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,264
Penn Station East Coast Subs,9591 Vista Way,41.4095614,-81.617586,1,3,Burgers,other,other,TRUE,FALSE,,,FALSE,FALSE,TRUE,FALSE,11:30-20:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17
My Friends Deli & Restaurant,11616 Detroit Ave,41.483578,-81.7679424,1,3.5,Delis,other,other,TRUE,FALSE,free,beer_and_wine,TRUE,FALSE,TRUE,FALSE,12:0-12:0,12:0-12:0,12:0-12:0,12:0-12:0,12:0-12:0,12:0-12:0,12:0-12:0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,117
Papa John's Pizza,14404 Cedar Rd,41.5010177,-81.5212617,1,2,other,other,other,FALSE,TRUE,,none,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20
Wendy's,14015 Lorain Ave.,41.4546933,-81.790696,1,1.5,Fast Food,other,other,,,,,,,,,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-1:0,10:30-2:0,10:30-2:0,,,,,,,,,,,,,FALSE,17
Chili's,"2121 Euclid Ave, SC 212A",41.50228939,-81.67530234,,2,Bars,other,other,,,,,,,,,15:0-23:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-22:0,15:0-22:0,,,,,,,,,,,,,,7
